Ticker,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
AAP,Long,11/12/2008,24.88,1/2/2009,34.14,37.22%,3721.86,37.22%,401.9293,10000.00,3721.86,35,106.34,-3.42%,38.42%,0/0
AAP,Long,1/14/2009,30.13,8/3/2009,47.06,56.19%,7710.29,56.19%,455.422,13721.87,11432.16,139,55.47,-2.09%,57.35%,0/0
AAP,Long,10/28/2009,36.49,12/6/2010,68.54,87.83%,18824.35,87.83%,587.3433,21432.16,30256.51,279,67.47,-0.99%,88.76%,0/0
AAP,Long,1/6/2011,60.27,5/13/2011,72.16,19.73%,7941.76,19.73%,667.9362,40256.51,38198.27,89,89.23,-0.30%,19.73%,0/0
AAP,Long,8/8/2011,50.04,9/19/2011,62.76,25.42%,12251.84,25.42%,963.1949,48198.27,50450.11,30,408.39,-1.08%,27.08%,0/0
AAP,Long,10/3/2011,56.3,4/27/2012,92.37,64.07%,38728.87,64.07%,1073.714,60450.11,89178.99,144,268.95,-1.23%,64.48%,0/0
AAP,Long,5/18/2012,66.68,6/8/2012,74.33,11.47%,11378.51,11.47%,1487.387,99178.98,100557.50,15,758.57,-0.97%,11.47%,0/0
AAP,Long,6/27/2012,65.59,7/18/2012,73.91,12.68%,14024.06,12.68%,1685.585,110557.49,114581.56,15,934.94,-7.20%,12.68%,0/0
AAP,Long,10/22/2012,66.15,11/1/2012,81,22.45%,27967.29,22.45%,1883.319,124581.56,142548.85,7,3995.33,-2.71%,22.45%,0/0
AAP,Long,12/21/2012,70.27,7/3/2014,134.94,92.03%,140391.84,92.03%,2170.896,152548.86,282940.70,385,364.65,-0.36%,93.71%,0/0
AAP,Long,8/1/2014,121.06,2/10/2015,162.9,34.56%,101244.33,34.56%,2419.798,292940.69,384185.03,133,761.24,-1.12%,35.02%,0/0
AAP,Long,4/30/2015,143,11/2/2015,200.38,40.13%,158170.18,40.13%,2756.539,394185.03,542355.21,130,1216.69,-0.26%,40.13%,0/0
AAP,Long,2/11/2016,138.41,3/30/2016,163.79,18.34%,101284.41,18.34%,3990.718,552355.25,643639.62,33,3069.22,-4.93%,18.34%,0/0
AAP,Long,5/19/2016,143.54,8/5/2016,170.49,18.78%,122722.51,18.78%,4553.711,653639.63,766362.13,55,2231.32,-7.36%,20.43%,0/0
AAP,Long,11/4/2016,136.19,12/7/2016,176.78,29.80%,231386.59,29.80%,5700.581,776362.13,997748.72,23,10060.29,-1.55%,29.80%,0/0
AAP,Long,7/11/2017,100.25,8/2/2017,114.48,14.19%,143045.03,14.19%,10052.36,1007748.75,1140793.75,17,8414.41,-0.88%,14.19%,0/0
AAP,Long,8/15/2017,87.08,9/13/2017,100.1,14.95%,172064.02,14.95%,13215.36,1150793.75,1312857.77,21,8193.52,-5.59%,14.95%,0/0
AAP,Long,11/7/2017,79.38,1/26/2018,123.64,55.76%,737587.37,55.76%,16664.88,1322857.75,2050445.13,55,13410.68,-0.72%,55.76%,0/0
AAP,Long,2/20/2018,105.35,3/13/2018,119,12.96%,266967.98,12.96%,19558.09,2060445.13,2317413.11,16,16685.50,-1.55%,13.24%,0/0
AAP,Long,4/20/2018,103.76,11/13/2018,184.72,78.03%,1815992.25,78.03%,22430.73,2327413.00,4133405.37,145,12524.08,-1.55%,78.03%,0/0
